timestamp_utc,n_sensors_used,used_sensor_indices,pm25_corr_avg,estimated_aqhi,site_lat,site_lon,station1_name,station1_km,station1_aqhi,station2_name,station2_km,station2_aqhi,station3_name,station3_km,station3_aqhi,official_weighted_avg,official_rounded,diff_estimated_minus_official,confidence
2026-08-05T08:55:22.333195+00:00,4,83971;91545;166965;249949,4.53,1,53.5962875,-114.99005525,Drayton Valley,41.84,2.0,Genesee,61.42,2.0,Enoch,81.95,2.0,2.0,2,-1,high
2026-08-05T09:52:48.509230+00:00,4,83971;91545;166965;249949,5.03,1,53.5962875,-114.99005525,Drayton Valley,41.84,2.0,Genesee,61.42,2.0,Enoch,81.95,2.0,2.0,2,-1,high
2026-08-05T10:50:11.679731+00:00,4,83971;91545;166965;249949,5.81,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,2.0,Enoch,81.95,1.0,1.31,2,-1,high
2026-08-05T11:40:31.597955+00:00,4,83971;91545;166965;249949,6.26,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,2.0,Enoch,81.95,1.0,1.31,2,-1,high
2026-08-05T12:35:06.332015+00:00,4,83971;91545;166965;249949,6.91,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,2.0,Enoch,81.95,1.0,1.31,2,-1,high
2026-08-05T13:33:11.329963+00:00,4,83971;91545;166965;249949,6.83,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,1.0,Enoch,81.95,1.0,1.0,1,0,high
2026-08-05T14:47:17.873424+00:00,4,83971;91545;166965;249949,6.74,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,1.0,Enoch,81.95,1.0,1.0,1,0,high
2026-08-05T15:43:31.251382+00:00,4,83971;91545;166965;249949,9.28,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,1.0,Enoch,81.95,1.0,1.0,1,0,high
2026-08-05T16:32:10.165082+00:00,4,83971;91545;166965;249949,14.71,2,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,1.0,Enoch,81.95,1.0,1.0,1,1,high
2026-08-05T17:30:56.710107+00:00,4,83971;91545;166965;249949,11.94,2,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,1.0,Enoch,81.95,1.0,1.0,1,1,high
2026-08-05T18:31:49.577442+00:00,4,83971;91545;166965;249949,9.72,1,53.5962875,-114.99005525,Drayton Valley,41.84,1.0,Genesee,61.42,1.0,Enoch,81.95,2.0,1.23,2,-1,high
