timestamp_utc,n_sensors_used,used_sensor_indices,pm25_corr_avg,estimated_aqhi,site_lat,site_lon,station1_name,station1_km,station1_aqhi,station2_name,station2_km,station2_aqhi,station3_name,station3_km,station3_aqhi,official_weighted_avg,official_rounded,diff_estimated_minus_official,confidence
2025-01-01T00:00:00+00:00,3,83971;91545;166965,9.19,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T01:00:00+00:00,3,83971;91545;166965,7.41,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T02:00:00+00:00,3,83971;91545;166965,9.67,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T03:00:00+00:00,3,83971;91545;166965,8.35,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T04:00:00+00:00,3,83971;91545;166965,5.31,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T05:00:00+00:00,3,83971;91545;166965,2.1,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T06:00:00+00:00,3,83971;91545;166965,2.07,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T07:00:00+00:00,3,83971;91545;166965,4.48,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T08:00:00+00:00,3,83971;91545;166965,3.67,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T09:00:00+00:00,3,83971;91545;166965,4.16,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T10:00:00+00:00,3,83971;91545;166965,3.11,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T11:00:00+00:00,3,83971;91545;166965,3.74,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T12:00:00+00:00,3,83971;91545;166965,2.09,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T13:00:00+00:00,3,83971;91545;166965,1.92,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T14:00:00+00:00,3,83971;91545;166965,1.97,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T15:00:00+00:00,3,83971;91545;166965,3.02,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T16:00:00+00:00,3,83971;91545;166965,4.17,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T17:00:00+00:00,3,83971;91545;166965,2.21,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T18:00:00+00:00,3,83971;91545;166965,1.78,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
2025-01-01T19:00:00+00:00,3,83971;91545;166965,2.31,1,53.597321666666666,-114.988457,Drayton Valley,41.95,2.0,Genesee,61.39,2.0,,,,2.0,2.0,-1.0,high
