month,Edmonton Lendrum,Redwater,Medicine Hat - Crescent Heights,Lethbridge,Woodcroft,Hinton-Drinnan,Hanna Library (Airpointer),Fort Saskatchewan,Jasper,MEAN (excl Woodcroft)
1,-1.3219373219373218,-1.219435736677116,-1.2651933701657458,-0.8496124031007752,-1.6882758620689655,-0.5242214532871973,-0.9985029940119761,-1.4072463768115941,-0.8700173310225303,-1.057020873376782
2,-1.466458658346334,-1.1644736842105263,-1.479514415781487,-1.191699604743083,-1.803951367781155,-0.608346709470305,-0.921602787456446,-1.5299003322259137,-1.1306620209059233,-1.1865822766425023
3,-1.3067226890756303,-0.913946587537092,-1.0950413223140496,-1.0775862068965518,-1.5877437325905293,-0.9460641399416909,-0.8105117565698479,-1.3114503816793892,-1.1766513056835637,-1.079746798712227
4,-1.4747474747474747,-1.2206896551724138,-1.3408450704225352,-1.3783359497645211,-1.7599431818181819,-1.1923076923076923,-1.2353801169590644,-1.4321907600596124,-1.4351851851851851,-1.3387102380773124
5,-1.3915416098226467,-1.1153846153846154,-1.493844049247606,-1.4511278195488722,-1.6731843575418994,-0.876750700280112,-1.136085626911315,-1.3492063492063493,-1.2580174927113703,-1.2589947828891108
6,-0.8202898550724638,-0.45454545454545453,-1.276410998552822,-0.6879875195007801,-0.17293233082706766,-0.026438569206842923,-0.5365853658536586,-0.9714285714285714,-0.6666666666666666,-0.6800441251034075
7,-0.6727272727272727,-0.27890173410404623,-0.8294679399727148,-0.7865671641791044,,-0.18840579710144928,-0.3036723163841808,-0.9971014492753624,-0.5492371705963939,-0.5757601055425655
8,-0.7276536312849162,-0.3489736070381232,-0.8317373461012312,-0.9300155520995335,,-0.049107142857142856,-0.5216763005780347,-0.6005830903790087,-0.3033240997229917,-0.5391338462576227
9,-0.7359550561797753,-0.6552748885586924,-0.8132022471910112,-0.7202472952086554,,1.0500834724540902,-0.1933139534883721,-0.48665620094191525,0.5514705882352942,-0.2503869476098797
10,-0.7489051094890511,-0.7370184254606366,-0.7579529737206085,-0.9130434782608695,-0.5817901234567902,-0.5215311004784688,-0.32554257095158595,-0.5178571428571429,-0.4968421052631579,-0.6273366133101902
11,-0.7540263543191801,-0.6186708860759493,-0.6264705882352941,-0.6887298747763864,-1.1594982078853047,-0.2626112759643917,-0.20344827586206896,,-0.6371134020618556,-0.5415815224707322
12,-0.893740902474527,-0.6762481089258698,-0.760342368045649,-0.6257545271629779,-1.1721739130434783,0.03296703296703297,-0.7287878787878788,,-0.8688524590163934,-0.6458227444923234
