diff,month,year,site
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-3.0,1,2025,Edmonton Lendrum
-3.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-3.0,1,2025,Edmonton Lendrum
-4.0,1,2025,Edmonton Lendrum
-4.0,1,2025,Edmonton Lendrum
-4.0,1,2025,Edmonton Lendrum
-3.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
1.0,1,2025,Edmonton Lendrum
1.0,1,2025,Edmonton Lendrum
1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
1.0,1,2025,Edmonton Lendrum
1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-6.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
-2.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
4.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
0.0,1,2025,Edmonton Lendrum
-1.0,1,2025,Edmonton Lendrum
