station,sensor_index,dist_km
O’Morrow Station 1,223767,0.004749700968121242
Poacher’s Landing Station 2,79371,0.004930675992156424
Edmonton Lendrum,29211,0.012837447292050429
Redwater,7208,0.014876066966963033
Breton,78747,0.014902252125417527
Medicine Hat - Crescent Heights,38449,0.01569920846198686
Lethbridge,107992,0.03419380828983784
Edmonton McCauley,32509,0.039972414164310376
Woodcroft,27707,0.040286509275817596
Hinton-Drinnan,203515,0.05630816769743925
Steeper,250159,0.06239461482142303
Carrot Creek,79495,0.1836681709768664
Hanna Library (Airpointer),151162,0.18750997418376592
Grimshaw,208033,0.20570138977442853
Fort Saskatchewan,175653,0.21647429399753398
Jasper,156679,0.5670470991176052
Edmonton-Gold Bar,172951,0.6841014128992748
Wagner2,78783,0.6972847340071475
Calgary Varsity,223827,0.8368547667081973
Southfort,186143,0.9172755651549003
High Level (Airpointer),107246,1.184240249898004
St. Albert,27709,1.297765004208435
Fort Chipewyan,217099,1.3407822847056179
Three Creeks 986,33111,1.4625864311456682
Leduc Sensor,269504,1.4904850439296895
Lac La Biche,101383,1.6715855811456843
Raymond (Airpointer),213999,1.972102656141969
Edmonton-Beverly,172951,2.1137463525440285
St. Lina,100655,2.1609679304656026
Red Deer - Riverside,106978,2.195980021874218
Edson,156909,2.2648717520580908
Edmonton East,172951,2.406420503184448
Elk Island,175707,2.6053532639348314
Ross Creek,175653,2.674158863771515
Drayton Valley,197381,2.695467475437127
Fort McMurray Patricia McInnes,219577,2.870744003606388
Airdrie,49851,3.1155104998213177
Grande Prairie - Henry Pirker,179935,3.161044588646645
Cochrane Sensor,104952,3.267389714061602
Calgary Central Inglewood,177865,3.655006893782727
Sherwood Park,26633,3.663776616291811
Fort McMurray Athabasca Valley,219577,4.217379409378573
Hinton-Hillcrest,224293,4.637962453150718
Enoch,197407,5.081955778444594
Calgary Southeast,267739,5.333439355423963
Range Road 220,182585,5.716971559587822
Scotford South,182585,5.943636688125118
Gibbons,101764,6.283964143115958
Bremner,179927,6.739332291542935
Reno - PRAMP,216463,6.955990242164302
Bruderheim,279898,7.692051078905978
Ardrossan,305490,8.223648544627165
Lamont,175707,9.391300456505942
PRC,33111,9.629113412927802
Three Creeks 842,33111,10.952019010107161
Meadows,198809,12.298066592979255
Olds Sensor,4327,14.008578000525022
Genesee,78783,17.470690062923108
Caroline,172289,17.9278742263585
Cold Lake South,101369,18.344383803874187
Beaverlodge,308756,19.465918138399825
Mannix,219577,23.156102060688113
Buffalo Viewpoint,219577,27.79960051727895
Lower Camp,219577,29.70655711996437
Tamarack,101369,30.253446043637762
Brooks Meadowplace,310579,32.86065264337971
Mildred Lake,219577,32.947587193803194
Smoky Heights,277275,32.954046117690964
Brion-MacKay River,219577,39.97791516641986
Anzac,219577,42.43407585204401
Fort McKay South,219577,44.849439570204794
Happy Valley,308756,46.76710136607067
Waskow ohci Pimatisiwin,219577,48.49508895754996
Fort McKay,219577,49.123758020039055
Barge Landing,219577,49.5079154551339
Ells River,219577,56.044958204168786
Wapasu,219577,60.22000048458437
Fort Hills,193947,61.794749842717906
Firebag,219577,61.934766781108024
Fox Creek,211921,65.52986776999906
Surmont 2,219577,69.09852695159624
Kirby North,309766,88.84161181127027
Jackfish 1,219577,98.42412616020194
Jackfish 2/3,309766,102.35249525376679
Janvier,192791,103.8031306507277
Stony Mountain,309766,105.95257333977673
Conklin Community,309766,109.71688055481651
